username,text,date
Felipe ADZ!! ◣✠◥,@bertmenezes Então estas praticando um assalto no tempo ?,2019-05-16 10:07:04 UTC
Rogerio Cesar,"Em São Paulo, ladrões estão levando maquininha de cartão pra sacar na hora do assalto o dinheiro da vítima. É o cúmulo do absurdo.",2019-05-16 10:04:36 UTC
Ale 🤟,O Assalto ao Trem Pagador do PSDB é coisa antiga e casual. Só pra lembrar! Prof @VillaMarcovilla ~ @JovemPanNews #JornalDaManhã,2019-05-16 09:54:53 UTC
Fernando Junior,"@joanatreptow @Felipegarraffa_ Acredito.
Nova modalidade de assalto",2019-05-16 09:50:54 UTC
Rogério Sampaio,Assalto no crédito e no débito. https://t.co/3p1KGgbxnX,2019-05-16 09:47:33 UTC
F5 News,Ladrões roubam R$ 170 mil de homens durante assalto em Aracaju  https://t.co/iTpNoESJWK,2019-05-16 09:46:09 UTC
João Maquileine,"@joanatreptow @Felipegarraffa_ No Brasil, assalto? Num podi ce",2019-05-16 09:34:01 UTC
Jornal O Dia,"Um bandido morre e dois são presos durante assalto à filial das Lojas Americanas

SAIBA + EM https://t.co/nLM1J8BP9l https://t.co/cP10TL8OYT",2019-05-16 09:32:40 UTC
José Filho,@l2riss Falta só trazer os seguranças pra evitar assalto no campus,2019-05-16 09:32:25 UTC
aaaaaaaaaa,"gente boa
mineral(????)
angela(????)",2019-05-16 09:26:56 UTC
aaaaaaaaaa,"amor de pessoa
crush
queia conversar mais
melhor lomotif",2019-05-16 09:25:34 UTC
Carlos Gonçalves,Brasil toma Fitei de assalto https://t.co/9m7ah8PYNO via @vidaextra,2019-05-16 09:25:19 UTC
oblogdepianco.com.br,"O Blog de Piancó: Em Cajazeiras, Idoso reage a assalto e mata um dos... https://t.co/d4bVhIBdt6",2019-05-16 09:24:59 UTC
DANIEL MATADOR,"QUE SATISFAÇÃO, ASPIRA!!!
Imigrante senegalês reage a assalto e mata meliante a facadas em Porto Alegre. https://t.co/WWBKsB2fGs",2019-05-16 09:21:00 UTC
ultimahorapb,Soldado da PM é baleado durante tentativa de assalto e mata suspeito em João Pessoa https://t.co/YZbKfT14iu https://t.co/YW3tYDngpY,2019-05-16 09:15:24 UTC
G1 Paraíba,"Suspeito é morto e PM fica ferido após troca de tiros em tentativa de assalto, em João Pessoa https://t.co/JZchZPNyWa",2019-05-16 09:10:29 UTC
Pedro Amadeu,@socorro_assalto Vms nos aproximar,2019-05-16 09:00:45 UTC
xale aguia,Isto é um assalto – Filha de Camilo Mortágua no Parlamento https://t.co/MJk9TGm6os via @Jornal O,2019-05-16 08:56:12 UTC
xale aguia,Isto é um assalto – o melhor proyesto sao as eleicoes. votem em pequenos partidos ou candidayos crediveis como rui Tavares e Paulo Sande,2019-05-16 08:55:57 UTC
xale aguia,Isto é um assalto – Filha de Camilo Mortágua no Parlamentovotem em pequenos partidos ou candidayos crediveis como rui Tavares e Paulo Sande,2019-05-16 08:55:10 UTC
bom som nario,nossa que pena seria se eu reagisse propositalmente à um assalto,2019-05-16 08:20:25 UTC
Reinaldo Costa,"@portaldaband É, tem partidos que escolhem o país como inimigo, aliás, vítima de assalto!",2019-05-16 08:14:22 UTC
Capintão Gancho,@michelleup @marciatiburi “existe lógica atrás do assalto”,2019-05-16 08:04:19 UTC
Dom Pedro II,Isso te livra de um bandido te dar um tiro por ter visto o rosto dele no assalto? Acho que não em https://t.co/aGLgLbAcPJ,2019-05-16 07:49:49 UTC
thiago 🕇,to planejando ficar rico esse ano vou fazer um assalto ao banco pra minha vida melhorar,2019-05-16 07:40:50 UTC
