username,text,date,
Ailton Corrêa,Homem é esfaqueado em tentativa de assalto em Treze de Maio=JORNAL ONLINE AC https://t.co/eOQmhg2OpI https://t.co/zbgUKbuxoE,2019-05-15 21:43:37 UTC,
marinex,"gnt, pelamor. acabei de presenciar um assalto na avenida da uern. que sensação péssima!",2019-05-15 21:23:00 UTC,
NE Notícias,"Bandidos encapuzados e armados, renderam dois homens que estavam em um carro importado https://t.co/ByVqUX021D #Assalto #Aracaju",2019-05-15 21:15:02 UTC,
JONATHAN,Esse Graal é um verdadeiro assalto,2019-05-15 21:00:28 UTC,
Segadas Vianna,Presos quatro suspeitos de assalto à delegada e policial em Niterói https://t.co/MXsFOA3D6V,2019-05-15 20:30:25 UTC,
G1 Tocantins,Dupla é condenada a mais de 20 anos de prisão por assassinar idoso que reagiu a assalto https://t.co/zfphdIW58z,2019-05-15 20:26:35 UTC,
Pereira Jr.,Trio suspeito de assalto é preso em flagrante por Policiais Militares nesta quarta-feira... https://t.co/JXKkdabZAI,2019-05-15 19:44:03 UTC,
Pantanal Notícias MS,Bandido espanca mulher durante assalto em Campo Grande https://t.co/gZQyJ7TFyN https://t.co/1HrXJ6AYW5,2019-05-15 19:27:33 UTC,
RIC Mais PR,Bandidos tocam o terror em assalto e rendem idosa https://t.co/hXtdh9dcjl,2019-05-15 19:15:25 UTC,
Kaboomga Videos,Aposentado morre após ser vítima de assalto https://t.co/iwzvy7T40r https://t.co/x6wD6qsFdH,2019-05-15 19:12:49 UTC,
Badalo,Suspeito de assalto em lan house é identificado após deixar rede social aberta em estabelecimento no Ceará - https://t.co/o21j3eJZoP,2019-05-15 18:44:43 UTC,
Jornal de Sergipe,"Dois Homens Encapuzados Levam 170 Mil Reais Durante Assalto Na Beira-Ma

Leia a matéria: https://t.co/DxPKTDlo8F",2019-05-15 18:37:50 UTC,
Nath,"mano minha mãe toda vez manda foto de assalto com gente morta e eu odeio isso, já pedi pra ela não mandar mas sempre manda",2019-05-15 18:34:46 UTC,
Edia,Presos quatro suspeitos de assalto à delegada e policial em #Niterói https://t.co/ywoZnDLWsb,2019-05-15 18:25:11 UTC,
Jailton Santana,Assalto na Beira Mar: dois homens encapuzados levam R$ 170 mil de um carro que abastecia https://t.co/67oxEGcE1Q,2019-05-15 18:21:57 UTC,
site_miseria,Veja o flagrante de jovem tentando assalto numa clínica no centro de Juazeiro https://t.co/JBQuGFpdPV,2019-05-15 17:37:11 UTC,
Kênnia Fellipe,"@mboimirim1 @SegurancaSP Isso pq NÃO conhecem o Pq Novo Santo Amaro, assalto todos os dias. @prefsp @governosp",2019-05-15 17:33:13 UTC,
Jornal Correio,"Manifestante e suspeito de assalto são presos em ato no Campo Grande, diz PM https://t.co/nzbUX9qwkC",2019-05-15 17:21:50 UTC,
Faxaju,Bandidos cometem assalto e levam grande valor em dinheiro https://t.co/ajo7zStyCL https://t.co/UepuPzxSXn,2019-05-15 17:20:00 UTC,
RIC Mais PR,Tentativa de assalto no Ceasa de Curitiba assusta comerciantes https://t.co/VfVRs8hXPR https://t.co/4fYKG5Ffmh,2019-05-15 17:17:40 UTC,
Faxaju,Assalto na Beira Mar: dois homens encapuzados levam R$ 170 mil de um carro que abastecima https://t.co/ZNAkyy0EVI,2019-05-15 16:55:09 UTC,
Theodora Chamarelli,INCRIVEL REAÇÃO DE MOTORISTA A ASSALTO NO RIO DE JANEIRO! https://t.co/69VrjeWLRB,2019-05-15 16:25:41 UTC,
Kaboomga Videos,Mulher é arrastada após reagir a assalto https://t.co/wEEW1f9IqV https://t.co/1AzVUn2XuD,2019-05-15 16:07:22 UTC,
MassaNews.com,"Suspeitas são presas por envolvimento em quadrilha de assalto à residências #Londrina
https://t.co/7vPAbUSvOg https://t.co/q1reSaS6ll",2019-05-15 15:38:25 UTC,
Antonio Marcos,"Nova Iguaçu na via light está tendo assalto todos os dias nos ônibus indo para Pavuna , tá compricado Tino #BalançoGeralRJ",2019-05-15 15:30:51 UTC,
G1 Santarém,"Família é feita refém durante assalto em uma residência no bairro Aparecida, em Santarém https://t.co/Wyk0Qg2fFm",2019-05-15 15:26:17 UTC,
Pedal.com.br,"Assalto aconteceu na praça Antero de Quental, na Zona Sul do Rio. https://t.co/SGhmX1qaOh",2019-05-15 15:11:09 UTC,
EPoPEia,Flagrante: homem é agredido por bandidos durante assalto em Teresina | Primeiro Impacto (15/05/2019) https://t.co/0BfIur2vtH,2019-05-15 14:37:22 UTC,
Sao_Mateus_News,Durante assalto Senhora é agredida por bandidos no bairro Caiçaras em São Mateus ES https://t.co/2IqANOwLXW,2019-05-15 14:20:39 UTC,
A TARDE,Câmera de segurança flagra assalto a mercado em Porto Seguro https://t.co/6S7202yXLO https://t.co/U5A5b4tdNt,2019-05-15 14:16:19 UTC,
Click Sergipe,Marido tem prisão temporária por suspeita de matar a mulher a marretada em suposto assalto https://t.co/SWzpFyfTF5 https://t.co/uFF6YycSfR,2019-05-15 13:38:52 UTC,
BLOG DO NALDINHO,LEM: Caminhonete é tomada de assalto https://t.co/5karRLPPhw https://t.co/QnXMZuqrxp,2019-05-15 13:34:38 UTC,
Jana Borges,@SuperVia_trens Estação de Santa Cruz 9:35 da manhã assalto dentro do trem de Santa Cruz a Tancredo Neves,2019-05-15 13:31:41 UTC,
Fábio Pirajá,Ciclista morto durante assalto na Cinco Pontes fazia o trajeto há mais 10 anos https://t.co/OYEdETyK9G,2019-05-15 13:18:00 UTC,
REDE GOSPEL VIDA,Vítima de assalto a ônibus de sacoleiros está com bala alojada no olho há mais de um mês https://t.co/ky9NoiNOT5,2019-05-15 13:07:21 UTC,
G1 AP,PM registra em Macapá e Santana três casos de invasões e assalto em residências https://t.co/i2vRcfthS6,2019-05-15 12:56:32 UTC,
Folha de Dourados,Momento de pânico em MS: bandido espanca mulher durante assalto https://t.co/VXVSTPDO3E,2019-05-15 12:41:14 UTC,
Portal Engeplus,"Mercado é alvo de assalto em Balneário Arroio do Silva
https://t.co/rnAzWhRcjE",2019-05-15 12:40:36 UTC,
G1 ES,Suspeito de matar ciclista durante assalto em ponte na Grande Vitória é preso https://t.co/K9DILmvx03,2019-05-15 12:16:26 UTC,
Israel Silva,"@RfTeixeira @luizguiprado Entendi, triste mano, Rj tá entregue mesmo... um conhecido meu morreu domingo em um assalto em Duque de Caxias.",2019-05-15 12:14:00 UTC,
P.Senna,"Lá em São Paulo em matéria de roubo os cara é artista, o assalto do carro forte mano q foda",2019-05-15 12:03:41 UTC,
BahiaNOW Revista,"Preso nesta segunda-feira, 13″ terceiro suspeito de assalto a ônibus na Linha Verde https://t.co/WOMjsocaOs https://t.co/3ILSLkIsaX",2019-05-15 11:50:26 UTC,
Paulo José,PM prende suspeito de dois homicídios e assalto ao Bradesco do Baianão-Porto Seguro https://t.co/B7OdsclETS,2019-05-15 11:45:32 UTC,
mirageral,Justiça acata pedido de prisão contra marido de mulher morta em suposto assalto em Aracaju https://t.co/89D2BSntpH https://t.co/pOAoAUE6gP,2019-05-15 11:43:21 UTC,
BLOG DO JOÃO OSÓRIO,Apreendido menor de idade que usou facão para tomar moto de assalto em Coelho Neto - MA https://t.co/2gCaSzgQPw,2019-05-15 11:35:50 UTC,
Laecio Vieira dois Santos,BRUTALIDADE: Idosa de 68 anos é espancada durante assalto https://t.co/O93wOVi8nH,2019-05-15 11:20:57 UTC,
Domni Lander,Suspeitos de assalto se arrebentam em acidente durante perseguição em #Manaus. https://t.co/Nr3s4ylb7C,2019-05-15 11:14:15 UTC,
lubs,"já to ficando c medo de ir pra faculdade, tá tendo assalto direto na eeap mano, ou é na rua ou é dentro do prédio",2019-05-15 11:06:04 UTC,
jrogilo,"#BDSP
Bom dia,
Moro em Osasco, aqui também as ocorrências de assalto e grande.
Infelizmente a insegurança esta grande em todo estado.",2019-05-15 10:53:21 UTC,
Clebson Amsterdan,PEDRA: Agricultor tem quase mil reais levados em assalto na zona rural https://t.co/dkm1VZ6YYi https://t.co/mVxRXaxuzm,2019-05-15 10:52:50 UTC,
roberto vallandro,@tvgazetaes bom dia! O ciclista que foi assaltado e morto tinha capacete com câmera? Talvez a câmera filmou o assalto.,2019-05-15 10:35:53 UTC,
F5 News,Marido de mulher morta em suposto assalto está preso https://t.co/WbHEf5bJSj,2019-05-15 10:20:27 UTC,
G1 Bauru,Comerciante baleado em tentativa de assalto a ônibus de sacoleiros está com bala alojada no olho há mais de u... https://t.co/D7E7ah5aFs,2019-05-15 10:12:11 UTC,
Faxaju,Guarda Municipal de Rosário prende assaltantes logo após assalto https://t.co/A12sa3wvBG https://t.co/2xkJIOwbZf,2019-05-15 09:50:11 UTC,
